audio_file,video_file,caption,gram_volume,cosine_loss_sum,cosine_loss_lv,cosine_loss_la,cosine_loss_va
file_0nPtStqMn3Q_109.wav,file_0nPtStqMn3Q_109.mp4,"dog howling",0.882733,2.183238,0.615942,0.708531,0.858765
file_0PN6A6IDAp4_30.wav,file_0PN6A6IDAp4_30.mp4,"car engine starting",0.859170,2.083722,0.591106,0.665179,0.827437
file_-71Sh7BGYu8_250.wav,file_-71Sh7BGYu8_250.mp4,"church bell ringing",0.927661,2.334115,0.789057,0.698448,0.846610
file_-bxI3HLANw0_16.wav,file_-bxI3HLANw0_16.mp4,"bird squawking",0.937780,2.374792,0.755819,0.760060,0.858913
file_0l9DYeLisyY_322.wav,file_0l9DYeLisyY_322.mp4,"playing marimba, xylophone",0.848176,2.033659,0.558842,0.681816,0.793001
file_-5dtmOk-Q2Q_60.wav,file_-5dtmOk-Q2Q_60.mp4,"playing piano",0.852246,2.106979,0.526900,0.756076,0.824004
file_0IAwAjhm-qU_181.wav,file_0IAwAjhm-qU_181.mp4,"dog whimpering",0.896786,2.247006,0.639952,0.725092,0.881963
file_0E5A89NCIJE_310.wav,file_0E5A89NCIJE_310.mp4,"basketball bounce",0.881998,2.161698,0.590850,0.795143,0.775705
file_-2TjevpJuAs_30.wav,file_-2TjevpJuAs_30.mp4,"playing acoustic guitar",0.876760,2.186783,0.562212,0.810139,0.814431
file_0rLECbTbygM_120.wav,file_0rLECbTbygM_120.mp4,"playing erhu",0.866696,2.091707,0.578689,0.725594,0.787424
file_0fsFWLev-q4_257.wav,file_0fsFWLev-q4_257.mp4,"running electric fan",0.993085,2.891104,0.892558,1.031059,0.967487
file_-8zyGG5y3io_30.wav,file_-8zyGG5y3io_30.mp4,"female speech, woman speaking",0.938049,2.436987,0.786191,0.721089,0.929708
file_-drfe7nm88k_30.wav,file_-drfe7nm88k_30.mp4,"playing harp",0.851260,2.086844,0.540179,0.719647,0.827019
file_0qxS_qq-vH8_112.wav,file_0qxS_qq-vH8_112.mp4,"tapping guitar",0.850790,2.014267,0.563446,0.710849,0.739973
file_-ej17LDVOJc_22.wav,file_-ej17LDVOJc_22.mp4,"cat meowing",0.813632,1.928460,0.561239,0.576312,0.790909
file_0dWF5opVEXg_40.wav,file_0dWF5opVEXg_40.mp4,"playing saxophone",0.901212,2.229501,0.760070,0.637846,0.831584
file_0E8deE2ksOw_124.wav,file_0E8deE2ksOw_124.mp4,"yodelling",0.982093,2.741555,0.994909,0.831375,0.915271
file_0FeDthkc9Dc_20.wav,file_0FeDthkc9Dc_20.mp4,"gibbon howling",0.954242,2.550756,0.890341,0.721842,0.938573
file_-C6cbmMaENE_319.wav,file_-C6cbmMaENE_319.mp4,"striking pool",0.934335,2.348869,0.725487,0.802648,0.820734
file_-0zIOEW3mM4_26.wav,file_-0zIOEW3mM4_26.mp4,"pheasant crowing",0.967303,2.614655,0.766809,0.903086,0.944760
file_-9NoQ1XeqS8_30.wav,file_-9NoQ1XeqS8_30.mp4,"printer printing",0.899461,2.195919,0.730922,0.658330,0.806667
file_0LzLjAplzmA_114.wav,file_0LzLjAplzmA_114.mp4,"bowling impact",0.852315,2.042989,0.629639,0.605518,0.807832
file_0I_4OWydbJI_440.wav,file_0I_4OWydbJI_440.mp4,"child speech, kid speaking",0.867543,2.050052,0.667774,0.631146,0.751132
file_0tRkJ1CppTA_40.wav,file_0tRkJ1CppTA_40.mp4,"mynah bird singing",0.876105,2.251839,0.587790,0.730080,0.933969
file_-1rZFviqTTQ_3.wav,file_-1rZFviqTTQ_3.mp4,"sharpen knife",0.838190,1.962455,0.558203,0.668832,0.735420
